"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.108591436E2,6.505842607E1,2.547618180E1,1.590436299E1,1.120397688E0,1.460493131E1,4.750201328E0,3.355610880E0
2.118591362E2,6.505844214E1,2.547619351E1,1.582632814E1,1.318247538E0,1.563504083E1,4.756377683E0,3.346850515E0
2.128591290E2,6.505844966E1,2.547619457E1,1.538718923E1,1.059819711E0,8.362169030E0,4.764672403E0,3.335031322E0
2.138591218E2,6.505846022E1,2.547620547E1,1.576037562E1,1.036847707E0,9.158058521E0,4.759693739E0,3.342132933E0
2.148591145E2,6.505847321E1,2.547621093E1,1.517353935E1,1.167306218E0,9.983843482E0,4.748111813E0,3.358566844E0
2.158591079E2,6.505848579E1,2.547621392E1,1.503514877E1,1.261057091E0,6.567375784E0,4.745767296E0,3.361878910E0
2.168591000E2,6.505849678E1,2.547622151E1,1.494449081E1,1.229238577E0,8.273838616E0,4.745102318E0,3.362817424E0
2.178590930E2,6.505850608E1,2.547623322E1,1.497993411E1,1.119183085E0,1.383655867E1,4.742588288E0,3.366362036E0
2.188590858E2,6.505851827E1,2.547623784E1,1.533960816E1,1.166015726E0,9.306790139E0,4.740655690E0,3.369083059E0
2.198590786E2,6.505853082E1,2.547624947E1,1.553517073E1,1.257175104E0,1.349621169E1,4.742560490E0,3.366401199E0
2.208590711E2,6.505853997E1,2.547625267E1,1.528557706E1,1.100832391E0,1.145198364E1,4.744808219E0,3.363232373E0
2.218590637E2,6.505854934E1,2.547625509E1,1.547076984E1,1.002037351E0,7.714102686E0,4.743300747E0,3.365358087E0
2.228590573E2,6.505856283E1,2.547625488E1,1.556708944E1,1.164288132E0,4.815437985E0,4.734630291E0,3.377545416E0
2.238590531E2,6.505857674E1,2.547626988E1,1.575430309E1,1.338995160E0,1.042349801E1,4.735733169E0,3.375998873E0
2.248590430E2,6.505858562E1,2.547627126E1,1.556744771E1,1.137625791E0,8.277655903E0,4.736561862E0,3.374836108E0
2.258590385E2,6.505859921E1,2.547627673E1,1.564981443E1,1.196549845E0,9.540259303E0,4.735516172E0,3.376303247E0
2.268590279E2,6.505861238E1,2.547627267E1,1.561097177E1,1.202577833E0,3.732523948E0,4.731085257E0,3.382509324E0
2.278590217E2,6.505862342E1,2.547627196E1,1.550074350E1,1.191602500E0,3.731413667E0,4.723205798E0,3.393503208E0
2.288590140E2,6.505863561E1,2.547627079E1,1.533949496E1,1.238984076E0,5.502246607E0,4.724476813E0,3.391733462E0
2.298590075E2,6.505865009E1,2.547626698E1,1.527877374E1,1.323886258E0,3.218561759E0,4.716840503E0,3.402345177E0
2.308590007E2,6.505866054E1,2.547626832E1,1.546540161E1,1.138701013E0,3.620804522E0,4.719701355E0,3.398375517E0
2.318589926E2,6.505867576E1,2.547626658E1,1.519344650E1,1.252262660E0,3.069477217E0,4.718957664E0,3.399408125E0
2.328589853E2,6.505869085E1,2.547626187E1,1.530292530E1,1.283223914E0,1.132239364E0,4.711509749E0,3.409723290E0
2.338589795E2,6.505870377E1,2.547625926E1,1.519166368E1,1.244264269E0,1.651879348E0,4.707569251E0,3.415161604E0
2.348589741E2,6.505871707E1,2.547625976E1,1.540335725E1,1.264690946E0,2.387675821E0,4.708938003E0,3.413274076E0
2.358589655E2,6.505872769E1,2.547626043E1,1.550626282E1,1.248762784E0,2.513088251E0,4.703828123E0,3.420312562E0
2.368589569E2,6.505874170E1,2.547625671E1,1.489742233E1,1.292795220E0,4.151539619E-1,4.702130967E0,3.422645380E0
2.378589497E2,6.505875461E1,2.547625785E1,1.509099314E1,1.254920096E0,1.102740306E-1,4.705938177E0,3.417408800E0
2.388589418E2,6.505876740E1,2.547626343E1,1.518432169E1,1.181312039E0,2.583389689E0,4.711551889E0,3.409665062E0
2.398589354E2,6.505878134E1,2.547627123E1,1.539486009E1,1.188730430E0,8.433459848E0,4.714589655E0,3.405463466E0
2.408589275E2,6.505879632E1,2.547627157E1,1.600616201E1,1.259511407E0,7.782445764E0,4.719059257E0,3.399267092E0
2.418589211E2,6.505881256E1,2.547627513E1,1.660239942E1,1.304895344E0,8.132385811E0,4.720604430E0,3.397120965E0
2.428589141E2,6.505882863E1,2.547628052E1,1.686235040E1,1.322652739E0,9.181638059E0,4.724494822E0,3.391708376E0
2.438589070E2,6.505884171E1,2.547628813E1,1.687236364E1,1.216957425E0,1.205437365E1,4.727444649E0,3.387595625E0
2.448588998E2,6.505885443E1,2.547630016E1,1.759303178E1,1.090170176E0,1.981495831E1,4.725727241E0,3.389991014E0
