"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.634877916E-1,1.728084652E-1,-1.892650151E-1,3.128149277E-1
7.735347915E-1,1.914070329E-1,-6.621328533E-2,4.089086545E-1
7.835807917E-1,3.328137939E-1,-4.543637395E-2,8.951502442E-3
7.936277916E-1,5.303965464E-1,-8.309536636E-2,-1.976320884E-1
8.036747919E-1,6.790681440E-1,-5.325994849E-2,-1.570503652E-1
8.137217918E-1,7.737278411E-1,-1.487239301E-2,-2.008220369E-1
8.237687917E-1,9.217370953E-1,6.899071276E-2,1.074133515E-2
8.338147919E-1,1.022156885E0,5.686475694E-2,4.008278024E-1
8.438617918E-1,9.256939061E-1,1.582373500E-2,2.891915917E-1
8.539087917E-1,6.796155164E-1,-1.083050519E-1,3.377562261E-1
8.639557916E-1,3.515412197E-1,-1.138230693E-1,-2.145489603E-2
8.740017917E-1,-2.842813924E-2,2.560320318E-2,-4.377079457E-1
8.840487916E-1,-3.903612133E-1,1.011077142E-1,-5.507059729E-1
8.940957920E-1,-4.722624321E-1,1.241176772E-1,-7.849004084E-1
9.041427919E-1,-1.348875906E-1,1.134125948E-1,-9.942623037E-1
9.141887915E-1,2.569001240E-1,8.149615288E-2,-1.077773992E0
9.242357919E-1,5.017006778E-1,1.317956561E-1,-1.233643804E0
9.342827918E-1,7.053472853E-1,4.683502793E-2,-1.433698686E0
9.443297917E-1,7.286151105E-1,-1.538817590E-1,-1.189107024E0
9.543757918E-1,5.431683638E-1,-2.348159945E-1,-8.149276149E-1
9.644227917E-1,3.160575377E-1,-1.952397001E-1,-7.166929302E-1
9.744697916E-1,2.415480766E-1,-6.027485311E-2,-6.734887308E-1
9.845167915E-1,3.367386278E-1,9.796191216E-2,-7.785515016E-1
9.945637919E-1,4.879608174E-1,2.633445597E-1,-9.692420679E-1
1.004609792E0,4.040318573E-1,5.100958908E-1,-9.330425406E-1
1.014656792E0,1.238108446E-1,6.869817656E-1,-8.689699209E-1
1.024703917E0,-1.917242078E-1,6.387276185E-1,-6.973140880E-1
1.034750917E0,-4.209700351E-1,6.147499412E-1,-5.448555413E-1
1.044796917E0,-4.087065601E-1,6.027783519E-1,-2.538691467E-1
1.054843917E0,-1.583394935E-1,4.752488244E-1,-1.756567901E-1
1.064890917E0,3.127788942E-1,3.974171215E-1,-3.912652659E-1
1.074937917E0,8.011778142E-1,3.567848200E-1,-2.699165377E-1
1.084984917E0,1.114898768E0,3.742861211E-1,-1.715675399E-1
1.095030917E0,1.062007706E0,3.183656895E-1,-2.156283563E-1
1.105077917E0,7.381333543E-1,2.147337323E-1,-3.975863984E-1
1.115124917E0,4.932648267E-1,1.711444938E-1,-6.448750886E-1
1.125171917E0,4.134664494E-1,1.728746849E-1,-8.336574161E-1
1.135217917E0,3.222847493E-1,1.081799215E-1,-1.154181605E0
1.145264917E0,2.657776592E-1,7.010226846E-2,-1.311156834E0
1.155311917E0,2.593643600E-1,1.203666884E-1,-1.123014192E0
1.165358917E0,3.030133132E-1,1.142136633E-1,-1.037238169E0
1.175405917E0,3.461099238E-1,4.130823970E-2,-8.484935564E-1
1.185451917E0,3.236278912E-1,-5.666244328E-2,-5.357172203E-1
1.195498917E0,3.135029988E-1,-5.088480949E-2,-4.200397065E-1
1.205545917E0,4.550999039E-1,1.031039536E-2,-3.571143106E-1
1.215592917E0,6.100879562E-1,2.447995305E-2,-3.110762581E-1
1.225638917E0,5.682460119E-1,-3.976808310E-2,-4.701471287E-1
1.235685917E0,5.434291130E-1,-1.025110459E-1,-6.719076437E-1
1.245732917E0,4.843036032E-1,-2.239308178E-2,-6.488307300E-1
1.255779917E0,4.128063353E-1,7.857722282E-2,-7.188707256E-1
1.265825917E0,4.326444762E-1,-2.272344947E-2,-1.046166575E0
1.275872917E0,4.590522563E-1,-2.203838968E-1,-1.410926120E0
1.285919917E0,4.229087160E-1,-2.562442857E-1,-1.442197030E0
1.295966917E0,3.428901545E-1,-2.362737054E-1,-1.353072014E0
1.306013917E0,1.716321516E-1,-2.728299129E-1,-1.204845390E0
1.316059917E0,3.421987943E-2,-2.963234407E-1,-1.079119436E0
1.326106917E0,-3.386517271E-2,-2.917778152E-1,-9.735152131E-1
1.336153917E0,-1.130014624E-1,-2.605086601E-1,-7.293530291E-1
1.346200917E0,-2.042631233E-1,-1.406249517E-1,-3.169164571E-1
1.356246917E0,-1.940014060E-1,2.281583548E-2,-1.190876099E-1
1.366293917E0,9.726558186E-2,1.722396773E-1,-1.423896414E-1
1.376340917E0,4.423037841E-1,9.935354948E-2,2.319005728E-3
1.386387917E0,6.080650388E-1,9.018628478E-2,1.376726925E-2
1.396434917E0,5.913318425E-1,3.155151719E-1,-2.330901888E-1
1.406480917E0,4.338542651E-1,4.309058797E-1,-4.303363609E-1
1.416527917E0,2.635917142E-1,4.868444377E-1,-6.947629479E-1
1.426574917E0,1.788813103E-2,5.611660570E-1,-8.008010343E-1
1.436621917E0,-1.687475374E-1,5.919545710E-1,-7.984758890E-1
1.446667917E0,-1.562262367E-1,5.493155050E-1,-7.155386898E-1
1.456714917E0,3.866946436E-3,3.790820074E-1,-3.954992348E-1
1.466761917E0,1.730392110E-1,3.004509902E-1,-8.659872562E-2
1.476808917E0,3.625829555E-1,3.581472212E-1,6.696699142E-2
1.486855917E0,4.696869894E-1,3.326977998E-1,1.633054242E-1
1.496901917E0,6.434128462E-1,2.034217089E-1,1.913591954E-1
1.506948917E0,8.897187656E-1,1.044113910E-1,-1.073727134E-1
1.516995917E0,1.011111202E0,7.618161857E-2,-3.499704748E-1
1.527042917E0,8.369264482E-1,1.375504857E-1,-5.452186534E-1
1.537089917E0,5.633052974E-1,2.372905362E-1,-8.458140698E-1
1.547135917E0,2.723408664E-1,3.138656723E-1,-1.139764126E0
1.557182917E0,-9.419557437E-2,3.858045512E-1,-1.212161134E0
1.567229917E0,-6.953089316E-1,2.532914418E-1,-6.827784947E-1
1.577276917E0,-1.185244208E0,1.444075155E-1,1.338997766E-1
1.587322917E0,-1.348445697E0,1.514095563E-1,6.480770239E-1
1.597369917E0,-1.426852912E0,5.240450084E-2,8.586606950E-1
1.607416917E0,-1.122173801E0,4.635614097E-2,1.176916749E0
1.617463917E0,-6.295922211E-1,-3.013590628E-1,1.253753548E0
1.627510917E0,-2.745588249E-1,-6.865063870E-1,1.198400004E0
1.637556917E0,-1.689325652E-1,-6.038589174E-1,1.134756278E0
1.647603917E0,-2.732325668E-1,-3.884270275E-1,8.371821177E-1
1.657650917E0,-5.439614655E-1,-3.787609953E-1,5.702277794E-1
1.667697917E0,-8.381932475E-1,-3.824798244E-1,1.814066496E-1
1.677743917E0,-1.050566605E0,-2.593316156E-1,-7.443622470E-2
1.687790917E0,-1.123321828E0,-1.104527342E-1,-1.408559167E-1
1.697837917E0,-1.077443039E0,1.443677545E-2,2.767399460E-2
1.707884917E0,-1.118986849E0,3.147205353E-2,4.335660705E-1
1.717931917E0,-1.217145447E0,-2.806020319E-2,6.411170831E-1
1.727977917E0,-1.281494055E0,-1.191949064E-1,9.381959841E-1
1.738024917E0,-1.370035372E0,-1.840452057E-1,1.024818099E0
1.748071917E0,-1.472873277E0,-1.584589595E-1,1.178306340E0
1.758118917E0,-1.317169526E0,-1.036138308E-1,1.231093249E0
1.768164917E0,-9.961358978E-1,-5.541406274E-3,9.644450122E-1
1.778211917E0,-7.067763448E-1,9.270935833E-2,7.587148225E-1
1.788258917E0,-5.291993290E-1,1.899497241E-1,5.075786644E-1
1.798305917E0,-5.262483855E-1,2.512478399E-1,2.686207947E-1
1.808352917E0,-6.756377287E-1,3.265862900E-1,5.639347136E-2
1.818398917E0,-8.995171642E-1,3.647387874E-1,-1.252865356E-1
1.828445917E0,-1.033002081E0,3.555604130E-1,-1.561384919E-1
1.838492917E0,-1.073899407E0,2.910176772E-1,-2.591553220E-1
1.848539917E0,-1.006160291E0,1.031051230E-1,-4.650156122E-1
1.858585917E0,-9.004704796E-1,-1.104100496E-1,-7.013609460E-1
1.868632917E0,-8.427058361E-1,-2.898780549E-1,-7.466037771E-1
1.878679917E0,-8.092608590E-1,-4.055494291E-1,-5.688294178E-1
1.888726917E0,-6.292378798E-1,-3.105695969E-1,-4.001553726E-1
1.898773917E0,-1.620310235E-1,-1.076016319E-1,-2.136066815E-1
1.908819917E0,2.385940267E-1,1.164402831E-1,-1.079147503E-1
1.918866917E0,4.982799105E-1,1.518270475E-1,-1.393654615E-1
1.928913917E0,4.823614506E-1,8.099563122E-2,-2.125954056E-1
1.938960917E0,4.375643966E-1,3.793848932E-2,-4.948706183E-1
